
Pathwayname ECID Probeset AGI c1 c2 c3 c4 c5 c6 c7 c8 c9 c10 c11 c12 c13 c14 c15 c16 c17 c18 c19 c20 c21 c22 c23 c24 c25 c26 c27 c28 c29 c30 c31 c32 c33 c34 c35 c36 c37 c38 c39 c40 c41 c42 c43 c44 c45 c46 c47 c48 c49 c50 c51 c52 c53 c54 c55 c56 c57 c58 c59 c60 c61 c62 c63 c64 c65 c66 c67 c68 c69 c70 c71 c72 c73 c74 c75 c76 c77 c78 c79 c80 c81 c82 c83 c84 c85 c86 c87 c88 c89 c90 c91 c92 c93 c94 c95 c96 c97 c98 c99 c100 c101 c102 c103 c104 c105 c106 c107 c108 c109 c110 c111 c112 c113 c114 c115 c116 c117 c118
Abscisicacidbiosynthesis NA 251146_at AT3G63520 7005.8 8946.7 2286.2 7634.4 7746.4 9902 3435.2 9274 10606.5 7994.6 10370.2 9274.6 5729.3 3675.1 5213 4680.8 4146.4 4172.4 4951.5 4195.1 3579.2 3079.2 10232.5 7053.8 5405.1 6117.2 3946.4 3345.9 2680.4 2291.6 2383.9 5917.3 2968.9 3132.5 5811.9 3065.8 2912.6 5614.1 4075 2000.2 5325.8 5589.3 2904.3 7591.7 6939.4 7445.7 7299.9 5225 9843.2 9348.5 9297.9 3457.7 4408.6 4939.5 3623.2 7065.6 2853.6 3074.8 3396.2 2767.2 3985.2 3878.9 3098.4 2858.2 4681.5 3127.3 2509.4 3040.8 4969.8 8108.4 8344.8 9483.6 9386.1 11833 12427.1 10413.6 12140.8 10587 10456.6 11631.3 10966 10994.7 11672.8 11315.6 9460 9686.3 7134.1 13635.9 11893.5 12869.4 9395.3 10849.1 7611.2 6830.2 6927.8 6868 7217.3 7736.9 9046.8 7846.7 9167.3 10007.1 6670.3 6060.9 9964.4 8720.3 7778.4 7122.1 7782.9 12528.6 8574.6 7920.2 9061.6 6358 7206.1 7673.4 7095.3 8461.8
Abscisicacidbiosynthesis NA 254564_at AT4G19170 1313.9 1676.1 40.4 13998.2 1736.3 12586.5 676.4 7986 15412.1 9331.7 24620.8 12819.4 9809.3 1712.8 4925.7 2340 3994 2513.2 2483.8 1949.8 2578.1 1753.1 17773 10335.3 1852.3 4225 1047.6 900 219.3 467 40.5 1122.9 23.3 109.4 781.3 153.8 82.4 678.9 66.6 11.1 353.2 272.5 212.2 4330.7 3066.4 207.5 351.4 242.8 304.3 223.2 502.5 411.6 271.6 257.3 98 4856.1 2906.7 1816.4 1054.9 3862.4 1421.4 3345.4 3552.5 2433.7 1791.6 1448.9 14136.2 14821.7 17584 2999.5 2904.3 2353.7 2792.1 4671 6103.8 4154.4 5357.5 3127.9 3134.9 4505 4268.5 2631.2 2442 441.5 418.8 853.1 481.6 503.4 5264.6 427.4 1045.8 1480.8 16085.7 2277.6 2241 5832.5 1007.4 654.3 16592.7 25354.9 15800.5 1033.8 1571.7 1147.1 13778.5 904.3 441.4 13945.2 24971.8 1049.9 7196.1 17933.2 20532.6 4026.3 21089.3 14679.8 6107.6 23113.6
Abscisicacidbiosynthesis NA 254668_at AT4G18350 15.1 16.5 50.5 4.3 29.4 181.8 31.6 80.3 109.6 6.2 12.7 89.8 7.9 14.5 64.6 37.3 84.2 6.4 7 10.3 16.4 6 58.3 17.4 20.5 96.5 6.4 240.4 42.7 5.1 6.4 4.8 8.9 8.2 111.8 10.1 66 11.6 78.3 5.7 5.6 120.7 57.5 51.9 78.9 49.7 4.8 17.8 58.4 26 9.3 293.5 10 5.9 7.9 6.2 5.4 12 11.2 5.3 27.1 17.9 26.7 4.1 7.2 4 17.6 9.9 7.1 22.3 49.8 7.4 114.1 52.5 45.8 9 14.1 15.2 6.3 55.2 94 6.3 91.2 59.7 83.4 64.1 36.1 13.7 14.1 186.4 6.8 14.8 121.5 131.6 4.7 11.7 6.1 11.9 56 114.3 55 53 27.8 23.1 45.2 15.7 74.5 76.5 24.1 52.1 36.5 85.3 86.1 51.7 70.2 63.3 145.7 163.4
Abscisicacidbiosynthesis NA 256190_at At1G30100 16.1 12.6 10.8 50.2 21.1 45.2 49.7 93.3 92.8 7.6 71.6 21 6.9 4.9 27.4 28 64.6 5.2 91.5 6.1 21.1 4.9 54.4 48.9 17.1 44.3 3105.2 2091.6 49 222.4 88.6 102 60.5 48 4.6 3 93.3 22.6 112.3 17.7 4.8 12.6 4.7 24.5 13.7 83.2 79.7 18.8 4.6 35.9 52.1 198.6 13 12.9 68.1 23.6 3.4 11.5 7.2 5.8 82.3 37.6 53.1 41.6 16 87 46.5 18.4 33.9 54.6 10.8 71.7 15.5 18.4 4.8 2.1 10.2 34.3 3 68.9 13.8 19.6 26.6 28.1 10 89.3 52.3 16.2 91.8 60.7 104 150.6 11 43 5.7 60.8 11.2 6.8 64.5 58.4 19.7 13.5 3.4 7.7 4.3 22 46.3 42.6 40.3 78 30.3 81.8 8.9 36.8 10.4 11.8 126.9 22.2
Abscisicacidbiosynthesis NA 257242_at AT3G24220 11.8 11.1 2.9 23.1 6.3 20.2 20.7 7.7 8.5 9.7 7.3 13.8 24.4 8.8 5.6 5.8 7.1 15.5 12.8 14 7.4 6 14.9 7 9.6 15.3 13.3 8.5 12 8.3 16.6 10.1 6.6 7.6 14.1 8.5 20.3 7.8 12.4 7 11.6 18.8 6.5 9 12.8 9 24.9 6.3 25.1 11.8 8.9 160.4 7 11.9 9.7 6.7 8.4 9.6 5.8 9.1 10.4 22.5 7.9 10.8 11.8 7.9 9 8.5 8.1 4.5 8.8 7.1 3.9 5.3 5.5 4.7 9.8 14.2 4.1 11.7 14.1 32.8 7.9 12 12.2 9.7 8.8 10.2 6.3 9.9 10.7 7.1 7.5 7.6 9 4.2 7.7 5.7 3.3 6.7 14.6 8.6 8.9 18.8 9.1 9.9 6.8 4.7 4.7 6.3 7.6 18.8 19.4 8.6 6.2 22.1 13.8 16.1
Abscisicacidbiosynthesis NA 257280_at AT3G14440 130.5 395.4 10.6 111.2 67.3 367.6 23.5 416.2 517.4 227.3 581.9 690.5 307.7 97.7 387.6 242 377.4 211.2 243.4 180.6 288.6 308.9 520.4 747.1 1987 2471.3 954.8 246.9 386.3 468.2 392 16.8 427.4 535.2 36.7 177.6 696 8.4 187.2 349.9 20.5 176.2 313.4 213.3 171.1 251.3 144.1 199.3 11.5 61.7 15.3 269.6 17.6 50.3 252.1 190.7 162 279.7 98.9 334.5 33 617 252.8 239.9 324.7 582.5 391.4 1182.5 839.3 77 170 160.1 201.4 71.1 45.6 144.9 83.4 90.4 14.1 13.7 56.4 27.3 127.2 101.5 3.9 61.9 36.1 22.9 126.6 86.2 95.5 234.7 336.3 474.3 471.8 584 340.4 2942.4 148.5 313.9 65.2 171.2 386.1 327.9 1407.2 298.7 3019.5 113.5 265.6 229.1 283.8 133.1 348.1 641.8 114.1 327.2 193.4 162
Abscisicacidbiosynthesis NA 259669_at AT1G52340 500.2 675.5 3583.9 1674 487.5 1503.8 1587.9 1759.8 1677.1 435.9 969.2 1535.1 689.7 1245.8 1210.1 1081.1 1148 1291.9 1333.2 1010.3 806.3 769.8 1489.4 486.6 340.5 246.1 559.1 1067.1 290.6 379.4 679 1084.9 578 688.8 895.1 1035.2 476.8 890.8 760.6 710.7 574.9 716.8 476.5 1089.2 1160.3 1049.4 979.1 1167.9 661.9 599.4 569.7 99.5 772.2 819 564.1 954.1 675.5 657.5 793.2 763.8 934.2 869.1 767.7 760 557.2 1057 1271.9 982 1573.7 745.6 666.9 595.4 544.9 613.6 370 528.8 497 499.7 514.2 443.6 376.2 409.1 545.1 485.9 579.3 609.6 441.9 531.2 668 557.6 380.7 557.9 946.7 720.2 973.1 1284.6 1005.3 878 1464 691.6 1249.3 495 1007.9 854.8 1048.9 826.8 704.4 968.2 738.6 685.2 1179.3 1294.7 587.2 1099 1078.8 875.7 1191.3 871.2
Abscisicacidbiosynthesis NA 260797_at AT1G78390 4.8 4.8 10.1 4.6 4.5 12.9 14.6 7.7 7.9 6 7.5 5.5 6.2 5.5 4.9 5 9.5 4.5 6.8 7.4 5.2 9.4 7.5 4.6 5.6 6.9 7.5 3.5 5.7 3.7 10.6 14.6 6.3 6.9 7.3 7.3 8 6.5 6.8 9.6 8.2 6.5 13.6 5.9 7.8 7.1 7 12.1 5.3 7.6 7.8 126 17.2 7.7 11.2 6 13.3 9.3 4.4 5.1 7.5 6.8 8.2 14.7 10.5 4.2 11 5.2 7.1 4.9 16.1 4.5 9.9 6.8 13 11.3 5.6 53.1 11 13.4 11.6 16.6 6.1 15.1 96.8 19.9 37.7 20.5 8.5 4.8 29.9 10.7 7.1 12.1 6.2 4.9 3.4 6 5.6 9.2 5.7 6.5 13.2 20.4 5.4 3.5 166.4 3.2 3.5 16.2 15.3 5.6 6.7 4.6 9.4 4.4 10.7 8.2
Abscisicacidbiosynthesis NA 263570_at AT2G27150 317.8 395.9 171.5 448.9 405.8 578.6 219.7 335 505.9 660.9 688.2 538.8 470.9 335.6 356.5 289.8 345.7 246.3 318.8 267.9 332 399.7 410.9 604.2 1102.4 1140.4 765.7 573.9 432.7 820.4 454 291.4 252.9 362 379.9 482.8 461.9 353.8 446.9 339.6 281.8 437.5 748.5 411.8 428 618.3 591.8 528.2 803.1 740.2 552.7 1139.2 705.4 610.2 471.2 480.6 267.6 486.7 292 356 446.9 469.7 366 318.5 383.1 388 246.9 199.7 416.8 436.3 484.9 596.7 581.2 679.6 605.7 734.9 747.7 1297.9 1231.2 955.1 1060 648.8 781.1 446.5 802.3 808.7 1451.7 707.6 840 846.6 1184.8 1379.1 621.2 583.6 516.6 432.1 344.3 1181.9 852.8 1373 922.5 408.2 429.6 719.9 722.8 367.5 1589.9 613.9 2035.7 487.9 462.6 824.4 1425.8 337.7 1287.8 1231.4 485.9 1046.9
Arginine 1.5.1.12 251775_s_at AT3G55610 3657.2 5793.8 1909.5 7304.7 4825.8 4296.3 4701.3 10823.8 15685.9 7111.3 7221.8 14310.7 10940.5 4576.3 5736.2 5009.3 4314.1 3904.7 3744.4 3587.9 2591.9 2256.5 15272.6 7563.4 4013.5 6020.5 1601 1475.7 1116 1202.1 3924.6 1895.8 4501.9 3832 2167 3040.6 4052.6 2314.7 6739.7 3853.7 1604.3 3664.2 5435 4805.9 5215.7 3422.1 3493 2570.2 2263 2213 2619.4 1815.6 2053.6 2012.7 6376.2 4770.1 1820.7 1178.4 1053.1 1333.6 1018.5 1653.5 1485.8 820.1 1411.1 1890.7 1159.8 419.4 1606.7 9241.2 8306.8 8467.8 10396.1 15635.6 14547.7 13590.9 15871.2 21239.6 21868.6 18594.9 19276.6 10638.8 10039.3 17370.7 9696.6 10120.3 8164.5 11515.7 16370.8 9929.5 12514.5 13659 10822.4 7084.6 8813.9 5965.2 5388.1 19135.5 8753.3 6835.6 8088.9 4536 6309.3 5272.8 6971.2 4469.6 20946.8 5818.3 4915.8 5826.1 6341.9 5831.4 6201.4 5651.6 3427.9 7237 5107.9 6911.6
